2021-12-12 23:12:910 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 23:12:99 INFO  HomePage :26 - clicking on : [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-12-12 23:12:78 INFO  BankManagerLoginPage :32 - clicking on : [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-12-12 23:12:533 INFO  AddCustomerPage :33 - enter first name: [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 23:12:706 INFO  AddCustomerPage :39 - enter last name : [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 23:12:885 INFO  AddCustomerPage :44 - enter postal code : [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 23:12:51 INFO  AddCustomerPage :54 - clicking on : [[ChromeDriver: chrome on WINDOWS (cc713d0f23ff7d15b9fa2ce6486cab05)] -> xpath: //form[@name='myForm']//button[contains(text(),'Add Customer')]]
2021-12-13 00:12:171 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:818 INFO  HomePage :26 - clicking on : [[ChromeDriver: chrome on WINDOWS (fd0713f94b14ddb409fee7ffbf32a301)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-12-13 00:12:279 INFO  BankManagerLoginPage :37 - clicking on : [[ChromeDriver: chrome on WINDOWS (fd0713f94b14ddb409fee7ffbf32a301)] -> xpath: //button[contains(text(),'Open Account')]]
2021-12-13 00:12:842 INFO  OpenAccountPage :27 - selecting customer name : [[ChromeDriver: chrome on WINDOWS (fd0713f94b14ddb409fee7ffbf32a301)] -> xpath: //select[@id='userSelect']]
2021-12-13 00:12:33 INFO  OpenAccountPage :33 - selecting currency: [[ChromeDriver: chrome on WINDOWS (fd0713f94b14ddb409fee7ffbf32a301)] -> id: currency]
2021-12-13 00:12:195 INFO  OpenAccountPage :40 - clicking on : [[ChromeDriver: chrome on WINDOWS (fd0713f94b14ddb409fee7ffbf32a301)] -> xpath: //button[contains(text(),'Process')]]
2021-12-13 00:12:864 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:863 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:336 INFO  HomePage :30 - clicking on : [[ChromeDriver: chrome on WINDOWS (20302e3707102cb0f82db87672aa8d4e)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-12-13 00:12:945 INFO  OpenAccountPage :27 - selecting customer name : [[ChromeDriver: chrome on WINDOWS (20302e3707102cb0f82db87672aa8d4e)] -> xpath: //select[@id='userSelect']]
2021-12-13 00:12:65 INFO  CustomerLoginPage :37 - clicking on : [[ChromeDriver: chrome on WINDOWS (20302e3707102cb0f82db87672aa8d4e)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:19 INFO  CustomerLoginPage :42 - clicking on : [[ChromeDriver: chrome on WINDOWS (20302e3707102cb0f82db87672aa8d4e)] -> xpath: //button[contains(text(),'Logout')]]
2021-12-13 00:12:291 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:763 INFO  HomePage :30 - clicking on : [[ChromeDriver: chrome on WINDOWS (d6cac7f8fbaccfbbaaa4e32ab2b1e918)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-12-13 00:12:408 INFO  CustomerLoginPage :32 - select your name: [[ChromeDriver: chrome on WINDOWS (d6cac7f8fbaccfbbaaa4e32ab2b1e918)] -> xpath: //select[@id='userSelect']]
2021-12-13 00:12:589 INFO  ManageDriver :32 - Launching chrome browser
2021-12-13 00:12:559 INFO  HomePage :30 - clicking on : [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-12-13 00:12:56 INFO  CustomerLoginPage :32 - select your name: [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //select[@id='userSelect']]
2021-12-13 00:12:180 INFO  CustomerLoginPage :37 - clicking on : [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //button[@class='btn btn-default']]
2021-12-13 00:12:611 INFO  AccountPage :57 - clicking on : [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //button[contains(text(),'Deposit')]]
2021-12-13 00:12:16 INFO  AccountPage :62 -  entering amount : [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //input[@placeholder='amount']]
2021-12-13 00:12:132 INFO  AccountPage :68 - clicking on : [[ChromeDriver: chrome on WINDOWS (0a884c962379d00d5b9e49ae3df50604)] -> xpath: //button[@class='btn btn-default']]
